"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
1,"realistic",,2,2,26,4,29,29,27,24,29,25,27,24,29,29,29,27,2,2,5,1,2,3,5,1,2,2,2,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,25.0,5,11,-0.95,-0.96,-0.85,-0.89,-1.0,-0.63,5
2,"control",,1,1,24,1,24,24,30,24,24,24,28,24,24,24,24,30,1,1,6,1,1,1,7,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,,1,1,1,1,,,,1,,,,1,1,1,,,,,,,,,1,,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,,1,2,29.0,3,7,0.21,-0.87,-1.0,-0.67,-1.0,-0.58,5
3,"symbolic",3,2,5,26,4,27,27,29,25,27,30,29,24,26,30,30,24,5,5,2,3,5,6,2,1,4,6,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,1,26.0,3,1,-1.0,-0.83,-0.86,-0.4,-0.77,-1.0,5
4,"symbolic",2,2,2,29,2,29,29,26,29,29,26,27,24,29,29,29,26,2,2,4,2,2,4,5,1,2,2,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,1,,,,,1,1,,1,,,1,,,,,,1,,1,,,1,,,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,,1,27.0,4,11,0.85,0.35,0.32,0.41,0.85,0.42,5
5,"realistic",,5,4,24,1,24,27,24,26,29,26,29,24,26,26,29,29,1,5,1,4,2,4,2,1,4,4,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,1,,,,,,,,,1,,1,,1,,1,1,,1,1,,,,1,1,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,,2,70.0,4,2,-1.0,-0.85,-1.0,-1.0,-1.0,-0.85,5
6,"control",,5,5,24,1,29,26,30,29,26,24,27,24,29,24,29,26,2,4,6,2,4,1,5,1,2,1,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,19.0,3,11,0.95,0.15,0.05,-0.4,0.14,-0.02,5
7,"control",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,30,1,1,7,1,1,1,7,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,57.0,5,11,-1.0,-0.08,-0.1,0.05,-0.04,-0.1,5
8,"realistic",,1,1,26,4,24,24,28,24,24,24,28,24,24,24,24,28,1,1,7,1,1,1,7,1,1,1,1,7,233.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,,1,,,1,1,,1,,,,,,,,1,1,,1,,1,,,,,1,,1,,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,3,,2,39.0,3,4,-1.0,0.0,0.0,0.0,0.0,1.0,5
9,"symbolic",2,7,7,26,4,25,30,24,29,30,27,29,24,29,30,30,24,3,6,1,2,6,5,2,1,2,6,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,,,,1,1,,,,,,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,,,1,38.0,5,2,-0.89,-0.27,-0.18,-0.28,-0.27,-0.26,5
10,"symbolic",3,2,6,24,1,25,27,29,29,30,27,29,24,29,27,27,29,3,5,2,2,6,5,2,1,2,5,5,2,118.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,1,,,,,,1,1,1,1,1,,1,1,1,1,,,,,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,,,2,21.0,4,1,0.8,-0.7,-0.74,-0.41,-1.0,-0.41,5
