"id","condition","rcheck.symbolic1","rcheck.symbolic2","mcheck1","mcheck2","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","phs.anger1","phs.contempt1","phs.disgust1","phs.anger4","phs.anger2","phs.contempt2","phs.disgust2","phs.contempt4","phs.attcheck","phs.anger3","phs.contempt3","phs.disgust3","phs.disgust4","ths.int1","ths.pss1","ths.com1","ths.int2","ths.pss2","ths.com2","ths.int3","ths.pss3","ths.com3","ths.int4","ths.pss4","ths.com4","ths.int5","ths.pss5","ths.com5","ths.attcheck","ths.int6","ths.pss6","ths.com6","ths.int7","ths.pss7","ths.com7","ths.int8","ths.pss8","ths.com8","ths.int9","ths.pss9","ths.com9","ths.int10","ths.com10","hate_item","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0&1","voodoo2 - 0&1","voodoo3 - 0&1","voodoo4 - 0&1","voodoo5 - 0&1","voodoo6 - 0&1","voodoo7 - 0&1","voodoo8 - 0&1","voodoo9 - 0&1","voodoo10 - 0&1","tangram.check","tangram.videocheck","tangram.easy.1","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 - 0&1","tangram.easy.2 - 0&1","tangram.easy.3 - 0&1","tangram.easy.4 - 0&1","tangram.easy.5 - 0&1","tangram.easy.6 - 0&1","tangram.easy.7 - 0&1","tangram.easy.8 - 0&1","tangram.easy.9 - 0&1","tangram.easy.10 - 0&1","tanrgam.medium.1 - 0&1","tanrgam.medium.2 - 0&1","tanrgam.medium.3 - 0&1","tanrgam.medium.4 - 0&1","tanrgam.medium.5 - 0&1","tanrgam.medium.6 - 0&1","tanrgam.medium.7 - 0&1","tanrgam.medium.8 - 0&1","tanrgam.medium.9 - 0&1","tanrgam.medium.10 - 0&1","tanrgam.hard.1 - 0&1","tanrgam.hard.2 - 0&1","tanrgam.hard.3 - 0&1","tanrgam.hard.4 - 0&1","tanrgam.hard.5 - 0&1","tanrgam.hard.6 - 0&1","tanrgam.hard.7 - 0&1","tanrgam.hard.8 - 0&1","tanrgam.hard.9 - 0&1","tanrgam.hard.10 - 0&1","rcheck.realistic1","rcheck.realistic2","rcheck.control1","rcheck.control2","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
1,"control",,,1,1,24,24,24,30,24,24,24,30,24,24,24,24,28,1,1,1,6,1,1,1,6,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,26.0,4,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
2,"symbolic",1,1,1,1,29,27,25,26,24,25,26,25,24,24,24,27,29,2,5,3,4,1,3,4,3,1,1,1,5,2,1,2,2,3,2,2,2,1,3,1,2,2,1,1,2,1,2,2,5,1,2,2,2,2,2,5,1,2,2,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,30.0,2,4,-1.0,-0.8,-1.0,-0.8,-0.9,-1.0,5
3,"realistic",,,2,1,24,24,24,30,24,24,24,30,24,24,24,24,30,1,1,1,6,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,23.0,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76,5
4,"control",,,1,1,24,24,24,28,24,24,24,30,24,24,24,24,28,1,1,1,7,1,1,1,6,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,3,18.0,3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
5,"realistic",,,1,1,24,24,24,30,24,24,24,27,24,24,24,24,28,1,1,1,6,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,62.0,5,1,0.9,0.0,0.0,0.92,0.0,0.0,5
6,"realistic",,,1,1,24,24,24,28,24,24,24,27,24,24,24,24,30,1,1,1,7,1,1,1,5,1,1,1,1,6,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,31.0,3,1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,5
7,"realistic",,,2,2,24,24,24,30,24,24,24,30,24,24,24,24,30,1,1,1,6,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,33.0,4,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
8,"symbolic",1,1,1,1,24,24,24,26,24,24,25,26,24,24,29,24,27,1,1,1,4,1,1,3,4,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,26.0,4,1,-0.47,-1.0,-1.0,-1.0,-1.0,-1.0,5
9,"realistic",,,1,1,24,24,24,30,24,24,24,30,24,24,24,24,30,1,1,1,6,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,1,,1,,1,1,1,1,,,,1,,1,,,,,,,,,,,,1,,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,2,22.0,4,10,-0.82,-1.0,-1.0,-1.0,-1.0,-1.0,5
10,"control",,,1,1,24,24,24,28,24,24,24,28,24,24,24,24,26,1,1,1,7,1,1,1,7,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,2,54.0,3,2,-0.74,-0.7,-0.8,-0.5,-0.89,-0.7,5
